analysis	input_or_split	primary_code	primary_output	environment	notes
Leakage-controlled full model	manifests/full_controlled_split/idx_train.npy; manifests/full_controlled_split/idx_valid.npy	code/confmux_dta_train_predict_leakage_controlled.py	results/full_onehot	environment/requirements_confmux_revision.txt	Fixed revision split: 1626585 train / 406647 validation
No-one-hot ablation	manifests/full_controlled_split	code/confmux_major_design_ablation.py	results/full_no_onehot	environment/requirements_confmux_revision.txt	Same controlled validation membership
Character n-gram LightGBM	manifests/full_controlled_split	code/confmux_major_design_ablation.py	results/char_lgbm	environment/requirements_confmux_revision.txt	Same controlled validation membership
Endpoint-specific pIC50	manifests/full_controlled_split	code/confmux_major_design_ablation.py	results/endpoint_pIC50	environment/requirements_confmux_revision.txt	Endpoint-specific controlled model
Endpoint-specific pKi	manifests/full_controlled_split	code/confmux_major_design_ablation.py	results/endpoint_pKi	environment/requirements_confmux_revision.txt	Endpoint-specific controlled model
Endpoint-specific pKd	manifests/full_controlled_split	code/confmux_major_design_ablation.py	results/endpoint_pKd	environment/requirements_confmux_revision.txt	Endpoint-specific controlled model
BPE Ridge baseline	manifests/full_controlled_split	code/confmux_bpe_ridge_ablation.py	results/bpe_ridge	environment/requirements_confmux_revision.txt	Validation R2=0.4255014624 RMSE=1.1689386959
50% scale control	manifests/half_scale_split	code/confmux_dta_train_predict_scale_controlled.py	results/half_scale	environment/requirements_confmux_revision.txt	813292 train records; same 406647 validation records
Scale/DeepDTA summary	results/half_scale; results/deepdta_full_controlled	code/summarize_scale_and_deepdta.py	results/controlled_comparison	environment/requirements_confmux_revision.txt	Summary-only postprocessing
DeepDTA controlled comparator	manifests/full_controlled_split; manifests/deepdta_encoding	code/deepdta_full_controlled.py; code/submit_deepdta_full_controlled.sbatch	results/deepdta_full_controlled	environment/requirements_deepdta.txt	Endpoint-conditioned PyTorch reimplementation
Sigma head	manifests/full_controlled_split	code/confmux_sigma_head_only.py	results/uncertainty_rigorous/sigma_head	environment/requirements_confmux_revision.txt	Produces per-record sigma estimates
Uncertainty evaluation	results/uncertainty_rigorous/sigma_head/valid_predictions_with_sigma.csv.gz	code/confmux_uncertainty_evaluation.py	results/uncertainty_rigorous/evaluation	environment/requirements_confmux_revision.txt	203323 calibration / 203324 evaluation
Temporal prediction	data/temporal/bindingdb_diff_only_in_new.csv	code/confmux_temporal_prepare_and_run.py	results/temporal_shift/temporal_predictions_for_audit.csv	environment/requirements_temporal_audit.txt	Frozen historical random-split model
Temporal shift audit	results/temporal_shift/temporal_predictions_for_audit.csv	code/confmux_temporal_shift_audit.py	results/temporal_shift/paper_temporal_*.csv	environment/requirements_temporal_audit.txt	Historical random validation n=406650; descriptive audit
DeepDTAGen A800 speed benchmark	Third-party artifacts identified in manifests/deepdtagen_speed_a800/source_provenance.json	code/deepdtagen_speed_benchmark.py; code/submit_deepdtagen_speed_benchmark.sbatch	results/deepdtagen_speed_a800	environment/requirements_deepdtagen_optional.txt	Job 531342; measured benchmark plus scale projection, not full retraining
Historical Fig. 5	historical_reproducibility/fig5/input	historical_reproducibility/fig5/code	historical_reproducibility/fig5/reference_output	historical_reproducibility/fig5/environment	Historical random validation n=406650
Historical post-hoc Fig. S2	historical_reproducibility/suppfig_s2/input	historical_reproducibility/suppfig_s2/code/plot_suppfig_s2_final.py	historical_reproducibility/suppfig_s2/reference_output	historical_reproducibility/suppfig_s2/environment	Archived same-evaluation-label calibration; not primary frozen performance
Historical S8 inputs	historical_reproducibility/s8_historical_inputs/input	NA	historical_reproducibility/s8_historical_inputs/input	historical_reproducibility/s8_historical_inputs/environment	Historical random split: 1626597 train / 406650 validation
Supplementary Table S4	historical_reproducibility/supp_table_s4/input/cand_balanced_for_review.csv	code/rebuild_release_outputs.py	results/revision_fixed/Supplementary_Table_S4_posthoc_corrected.csv	historical_reproducibility/supp_table_s4/config	Five selected post-hoc examples; calibrated half-width; not independent evaluation
DeepDTAGen third-party provenance	manifests/deepdtagen_speed_a800/THIRD_PARTY_SOURCE.md	code/deepdtagen_speed_benchmark.py	results/deepdtagen_speed_a800	environment/requirements_deepdtagen_optional.txt	Formal historical benchmark batch=128; third-party files not redistributed

Corrected frozen DAVIS evaluation	historical_reproducibility/suppfig_s2/input	code/rebuild_release_outputs.py; code/plot_release_davis.py	results/revision_fixed	environment/requirements_release_plot.txt	No external-label refit; R2=0.565459 RMSE=0.591374
Release verification	SHA256SUMS.txt; deposited inputs	code/verify_release.py	User-selected report	Python standard library	No training, unpickling, network or job submission
